date,max,min,rain,snow,ice
2019/01/01,58,39,0.06,0.0,0.0
2019/01/02,40,35,0.00,0.0,0.0
2019/01/03,44,37,0.00,0.0,0.0
2019/01/04,47,35,0.00,0.0,0.0
2019/01/05,47,41,0.50,0.0,0.0
2019/01/06,49,31,0.01,0.0,0.0
2019/01/07,34,25,0.00,0.0,0.0
2019/01/08,45,34,0.17,0.1,0.0
2019/01/09,45,34,0.06,0.0,0.0
2019/01/10,34,28,0.00,0.0,0.0
2019/01/11,30,21,0.00,0.0,0.0
2019/01/12,34,20,0.00,0.0,0.0
2019/01/13,33,25,0.01,0.1,0.0
2019/01/14,32,22,0.00,0.0,0.0
2019/01/15,36,25,0.00,0.0,0.0
2019/01/16,39,30,0.00,0.0,0.0
2019/01/17,33,24,0.00,0.0,0.0
2019/01/18,39,29,0.05,0.5,1.2
2019/01/19,37,32,0.29,0.2,0.0
2019/01/20,42,14,0.88,0.0,0.0
2019/01/21,14,4,0.00,0.0,0.0
2019/01/22,31,13,0.00,0.0,0.0
2019/01/23,52,31,0.01,0.0,0.0
2019/01/24,59,35,1.33,0.0,0.0
2019/01/25,40,28,0.00,0.0,0.0
2019/01/26,35,24,0.00,0.0,0.0
2019/01/27,49,32,0.00,0.0,0.0
2019/01/28,38,25,0.00,0.0,0.0
2019/01/29,43,25,0.23,0.1,0.0
2019/01/30,35,6,0.01,0.4,0.0
2019/01/31,16,2,0.00,0.0,0.0
